Title,Price,Shipping,Condition,Date Sold,URL
"LEGO® BrickHeadz (40632): Aragorn™ und Arwen™ - selten, exklusiv **NEU & OVP**",27.99,5.49,Brandneu,2025-01-06,https://www.ebay.de/itm/155350356143?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYVBEPR488ZFH1159EZBESS&hash=item242b9a50af%3Ag%3ApJ8AAOSwN6ljvHvz&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKlR%2BngIyzad6noa5A%2ByKnCJ41BI%2BG3ym9YA4qkGFX%2BqKVy4tTIHi4wIQ0SJpGR5fPfnaDTRbT4QXuAyUVr07QTe%2BluGbIpHC6%2FcW9JbbU0R0BOpPFdMkhxrbtyXs3xaqNT6mV0Qc6TEn2kjfAH%2BcK00HMx%2FoZldimkpUSECzrMH%2FXa1E2Nsn5uWVKquU8Udyk2tv1Dx3K1eLLEi8lVU7fslwy04UjsY0XnS2njrn86sCTDciWOWBId%2B%2BwcPOaG5Lzc%3D%7Ctkp%3ABk9SR8jrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® 40632 - Aragorn und Arwen + NEU & OVP Brickheadz Herr Der Ringe Lord Of,29.39,0.0,Brandneu,2025-01-05,https://www.ebay.de/itm/395847533048?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYVBEPRGRCRMX5SKDS0JB59&hash=item5c2a5a01f8%3Ag%3A4A4AAOSwIExnLRad&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnk4PapItj%2FernlTY8tZ3HE%2FGHRpSoO1ebXu5tIRJY5ZB75MF7hakM9hTM3sBVnLJyP5Gl9Zo6ounKeRQq9KJts5Jt8%2Bs3w328vqykO4kzm5T6HSWv2F6e%2F5imkEfP1RLVJERK15EaIW6Fe%2B1rer%2FoES1oGrHmYPYtzZS8%2FZfuNrAplwF1BfX2ljHMnHdA%2BSBImg7KiNYKpVvbN9iYVK%2Bd2Mh%2FmwVG4YEhVnqXKQl8uieZzbaOSf6gfIRID1f7P05s%3D%7Ctkp%3ABk9SR8jrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO 40632 BrickHeadz Aragorn und Arwen 261 Teile OVP NEU Herr der Ringe LOTR,29.99,0.0,Brandneu,2025-01-05,https://www.ebay.de/itm/316064295795?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYVBEPR9TEFYTTD2DNNB3HX&hash=item4996e66b73%3Ag%3AS3YAAOSw2DZnZMT9&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnUowlMnx%2FzfmGMUD%2Bj7Rrlq%2B%2BT8XnAowmZChfGQ8ReAxwfjyhv%2BXi8Wo65wqWpjUlvD74GBmG0WGVC8tEQpEuft9d8ByCkBErQWNuEog%2B85lhqywmPAsZR8uEwabRpwhdIsSImVD%2BHGnpIDxA29QM%2BanXeEr0nmkcAmGpIzUWmNQe0w0obLBf9SD%2FrqWxrg1ylC5shiXhmmHKAVmpTiP%2BbSBrNQO9r0uG33XWE3%2FVOfwsIaPEIBqfraDepJAECcpe7%2FLPqY%2BcJdfF7geVmdqjYGFG10yGQQHIPhawm1PM1xw%3D%3D%7Ctkp%3ABk9SR8jrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BrickHeadz 40632 Aragorn und Arwen LOTR HDR Herr der Ringe,29.9,0.0,Brandneu,2025-01-04,https://www.ebay.de/itm/135450537401?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYVBEPR4MD95NNBRTK1PYJF&hash=item1f897b2db9%3Ag%3AwF0AAOSwepdnYymH&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKm6TTlJZYewBeEqxXO8xbzShRakcgOxR2P11ZjXmdqlXPj1yMZt1qgZPYGGsoMKJbi2PoLy67tgyPgv1vXlr5hW%2FbrL2wnqYhrLhCkSX069QM55I43cGWnFNASJIYihtHdWwttmSCF%2FkFTxzcwSuA%2BYdBci0ZKAKvyvJHpIBgpV2QNpmrX8SVQZ1TdpZxPWjgcBVZMgJ0RbN0xf%2Bl0l2ouFoWt2AowCgS8woGdnj2onuFlKIHvdQKB3Hmv6PRLKLdoWhHRFACofKCbwalaNCuKtf8OqxsyX8FR7Qk5U%2B8l%2BBQ%3D%3D%7Ctkp%3ABk9SR8jrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BrickHeadz 40632 Aragorn und Arwen  The Lord of the Rings™ NEU & OVP,39.99,0.0,Brandneu,2025-01-03,https://www.ebay.de/itm/314452352830?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYVBEPR70DX0Y4EYS9P20Y9&hash=item4936d21f3e%3Ag%3AXaYAAOSw1FlkCFTw&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkV%2F3r2MZNVOoSgIvmmBnSJunmmKqp%2BNnAL3wvH0jX8LkTCYY%2BeOx0gUUyPOpa038O9cNseMujYIuUbrSdQvZNx%2FryT%2BwKgbudpvIWicDgyFkXauOWUfFj%2BTw41UnjwrhzzwJcdROvLx9t3FwC8zdC84Z%2BGPONYOGP%2FxihGQpHUQVK5m466yWvZwb97%2BIKxrKeLvB2vxjLTMsAIhk3A9lTnMmM7a1%2B1muanpGQgJCH%2BZbSikNY%2BpiBpU027Y%2BS0Bko%3D%7Ctkp%3ABk9SR8jrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BRICKHEADZ 40632 Herr der Ringe: Aragorn und Arwen ⭐NEU ⭐OVP | 261 Teile,29.99,0.0,Brandneu,2024-12-30,https://www.ebay.de/itm/356111042554?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYVBEPR8SAR4MBRMGRFS5QN&hash=item52e9df47fa%3Ag%3AWQcAAOSwvOFm%7EekB&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnvMqgGl8cZzMRaU1WN0mPONVT8dOyQkbZyD2WSVRUydYtnFveC23Sd18sVAXKJxZmmspesOkfTUXsqv5oPs33zvsb0yK%2BJw4AAc8fmF3NC8gkPNr5JbsSSvZAh%2BJ6O47HwVBT2BdbsLWAOGQqy1ymSUee8dzloCVKm5SUYe%2Fckn0nI80qe117rHqs%2BjrdexU6f4%2Ft19pMLZB9pZ74kkix0ORZVYhBkL8UClH%2BM6Srr6j4y%2BvLpwSl8qX%2F8u2BhZ4594xiG4y0Cv9%2B0G5Vww8PeBLC%2F4EqVQKXdE%2Fm2LPdZ%2BQ%3D%3D%7Ctkp%3ABk9SR8jrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® 40632 - Aragorn und Arwen + NEU & OVP +,39.95,0.0,Brandneu,2024-12-28,https://www.ebay.de/itm/266164889630?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYVBEPSY6PDPG6WZ7HMZ4CB&hash=item3df8a9e81e%3Ag%3AqIAAAOSwRX9kCeGV&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmXysgpzX41Tumi6MFqUrcskDsppW9c4D6qdAjBTcdcICT339QTkkZu2mqweFhw6AD8YIB9v1NutbCmUrHC3WND%2FaGGAZgT69zybyzI4VLexK2o7Me%2BUO7dIUzUyJ5vY62I4JACAICKyrJzmov4Ozt2iruzXtEfFTU8Mvad1jz63ByPdvXoLfhYiE%2Bw1gcT%2FSLyxMetdnk40J4mlc22CEacHSfK%2FCe7fkmLAOSo3vOYuMyBIzeeuZd79T976bJpPKE%3D%7Ctkp%3ABk9SR8rrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BrickHeadz Herr der Ringe - Arwen + Aragorn 40632 - NEU&OVP,10.5,5.99,Brandneu,2024-12-20,https://www.ebay.de/itm/135443881679?_skw=LEGO+40632&itmmeta=01JGYVBEPSNKN9BZXMNAX0H049&hash=item1f89159ecf%3Ag%3AmLIAAOSwERFnXuh6&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnObA%2BkPr8OI0xoW%2BnT7OTH3cs1NsvQ78lOtsA7c50owyo8gWJHzqYLbdj2Tu2cjD7MhGwLQn%2B0ggj%2F2456HciM8hkvsOffBa7Ckr2MfHTKO7IiwecDVlDHG7kAojMrmrmFBfm8ZFjYooXSRzBVripy83Ojzil5c%2FAxwYKyIRj5mu0PMQDwv7bpKiz8BurdsB01hzBNfntCVYawpRnsiBMyRe5eT%2BmSPlQt9HEH4Bp%2BmIoparLS0p9pCdSwYUEu7gDoXCKoe4nTYVA2VG6HME0ZjGL3QuiFn%2FTmAzi4zZtJAg%3D%3D%7Ctkp%3ABk9SR8rrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® 40632 - Aragorn und Arwen + NEU & OVP +,20.5,0.0,Brandneu,2024-12-13,https://www.ebay.de/itm/267085228601?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYVBEPSZ8QYZCWFRXK4M15F&hash=item3e2f852a39%3Ag%3AXtMAAOSw6zJnTqxr&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmB%2BTX3%2FxYxMyNWIwJuEXQj341uqEjyZt5e6gOxA4%2BLToZcpTGlJNWAR3LqYeBr%2BTHnSc%2FRhsbBkZcaURPN8RACxlMEQw6sIANNIx8VuJEL38Z9FHagvzUB7YyCGKne1ozZr7c%2FVgfaeS4C72LpJ7tP8fu3i6PDWPsjvBIniRqIPWoIonvZCXN4lHTnSYCrXGHv0HKl%2BUzCQeS0PJsekfg8JaYeFl9TJgHjqxPx1%2F9Yx%2BNA%2FXHKq389zb8JIRbQ5IZnVrP5R%2FnM16WnwexZU70IM1etm0j3xmApF73QfRTbUA%3D%3D%7Ctkp%3ABk9SR8rrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
"LEGO 40632 BrickHeadz Lord of the ring, neuf scéllé",39.0,25.0,Brandneu,2024-12-10,https://www.ebay.de/itm/365236176707?_skw=LEGO+40632&itmmeta=01JGYVBEPSZ7KSPAMWAYX9YAJM&hash=item5509c5c743%3Ag%3AyUsAAOSwWLRnOe%7Ey&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKlPnKFSJH8AqInwEptORD%2F1DdVGsvDsB1Xy%2BVggqzF0057%2F53itazYa0gfTj9o5HIEJCXTrRKAYg6RACW9H3CJZAHvl54D8JW0yIWKu4JGeOprBoGuadbk3eFJ1YKKQMrO6hpn5xgLP23aszCF1iywinANlswHI4qixjrJzqQwCcSRCQksm%2B47G2mMDoglHWMd%2FnhVXW02RoqKoh9is0tqPjDoHgSwNVC%2Fwknps72pHW4hrPA8x50tWrbfDE4C9cYw%3D%7Ctkp%3ABk9SR8rrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
Original LEGO® BrickHeadZ 40632 - Aragorn™ y Arwen™,39.99,9.0,Brandneu,2024-12-09,https://www.ebay.de/itm/325888862318?_skw=LEGO+40632&epid=2334876647&itmmeta=01JGYVBEPSAJFRET066FDAGD1M&hash=item4be07d686e%3Ag%3Ae2UAAOSwQs9lVfNq&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmCSZNDXh03bVRrtYHJj4gg%2F9thVPUKAwta0F%2F8MYtK6m%2Fu%2BVvm9%2BZjmD3kjW7ERoTc2s7iQd4bUu6pynJc5FMKcF2kMKql1mm4uzvrIwPa7Bz9UM%2Brd2NvsyinfscTTc5hjtRSUgHDkYxPHHea0L%2BWoqAOdYI4wA3l4bicguiOGBhcXNTS6iWYJNGskjsGS1X%2FuP88h2lsxYZtPyqSU0V6n6zHYqxXn9dsjqCP7NN5rJiSPOtBuKsCql6aL9azlnBPTm14GuAqA8prKGSFPFyxS6uelf0Ai0ExvIjASzZk4g%3D%3D%7Ctkp%3ABk9SR8rrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO BRICKHEADZ 40632 ARAGORN E ARWEN SIGILLATO,25.99,20.0,Brandneu,2024-12-08,https://www.ebay.de/itm/405337148119?_skw=LEGO+40632&itmmeta=01JGYVBEPSQ7MRDW13XCP3GYAQ&hash=item5e5ffa0ad7%3Ag%3ATN8AAOSwP1BnLfgm&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnHn9QJcDXGFBlK9Al6umQYRDDny8vxbhrEI7trhExvH%2BRIad%2FYYK3j8gkBuU5nj2uOwXnUFpX7EfqC3%2Ft%2FDBZOnzAxWCQoEdnbQHKInEYbV7%2B1UkfiCxM2Gx1QwqCH26I0RUr0lEVEb%2FJaipDae55uX%2FjiWvTI4tIkJYHYRl8DHASN8zsjjZDwORdIeKcro0Xe4K8qjJF55A4tVs%2Bij9vyXaM%2FVGNPI5Pn0HkpXNeY%2B09rkUl57YiXzi3x8hRbDKt%2FDqVyo%2FGdZmy57xi9lfvAAmzcy1ajM9YRQB%2FichZ24Q%3D%3D%7Ctkp%3ABk9SR8rrrduHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
