Title,Price,Shipping,Total Price,Condition,Date Sold,URL
LEGO® BrickHeadz 40632 Aragorn und Arwen LOTR HDR Herr der Ringe,32.9,0.0,32.9,Brandneu,2025-01-06,https://www.ebay.de/itm/135450537401?_skw=LEGO+40632&epid=16058340034&itmmeta=01JH0YEKKREFW4ZGEVBHNZ64AE&hash=item1f897b2db9%3Ag%3AwF0AAOSwepdnYymH&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKm6TTlJZYewBeEqxXO8xbzShRakcgOxR2P11ZjXmdqlXPj1yMZt1qgZPYGGsoMKJbi2PoLy67tgyPgv1vXlr5hW%2FbrL2wnqYhrLhCkSX069QM55I43cGWnFNASJIYihtHdFsEZnsK1J84vq53VOa9Og6BR03GD%2F92Oh%2F8GSngwY7f%2Fh2knDCZ2xA1jrp6w2ceAWkS0pa98rseb8Lr4%2BmeQ38loiFl%2Fddn7UxmeQbLM%2BLCVA0Cq5BTafiJYhXA0f18Nuo%2FFD1snynjofxqMeLVmEvKbVapUOdPmQkAcbPjz94Q%3D%3D%7Ctkp%3ABk9SR4y6up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
Lego Brickheadz Herr der Ringe Konvolut - #40751 & #40630 & #40631 & #40632 NEU,99.98,7.69,107.67,Brandneu,2025-01-06,https://www.ebay.de/itm/375898806399?_skw=LEGO+40632&itmmeta=01JH0YEKKRFH1EE95JMHNAJD8V&hash=item578550987f%3Ag%3AgUwAAOSwGcdnNLMZ&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkN%2B30Duln%2BRXO5rjgONqUi4A17DhxXB%2Bf2EQUL8tXe4EIrotWQ3M2diyvj8%2FVRm6q3%2BJwSKRn5sOIMMhYinvWeD4L954IVnuEo1Z3JWzIVbY%2B5jZ2suywauqmpBmQiEOMVsVjWGyp3UNlgUQ1FxxAzDVg%2ByuPKk0a2qBNJfwm6YAfY6eVNl%2FzvA8z%2BaE30yiHrQEIDOy7KkUKw4pFoWxvm9n48u75zRoaXxGCNLWU6RU6WbY0p6Qlcx3nP3ng85PM%3D%7Ctkp%3ABk9SR4y6up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
"LEGO® BrickHeadz (40632): Aragorn™ und Arwen™ - selten, exklusiv **NEU & OVP**",27.99,5.49,33.48,Brandneu,2025-01-06,https://www.ebay.de/itm/155350356143?_skw=LEGO+40632&epid=16058340034&itmmeta=01JH0YEKKR7YPHWMZEERVG2D28&hash=item242b9a50af%3Ag%3ApJ8AAOSwN6ljvHvz&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnzjxRcPIWuiaxDHPx4F2f7yPisXvPNvRae4QpYQoGgzXJSVoZ1Am6tIgRN3X3rQzmbWQM05ZNaknQF20Gd%2B--HCxSRnRGJQ49cGzxNKHelLWmpExNNwGJIX1Mes%2FnX%2F607%2F2DZRuaqAHmD9Cga8X3QheiiTypLR%2B9sCdfk9K9AqfHkgCKKEv%2BTsceXfcGvj1JlbZRNdJIeEGtm%2BIrFwV%2BE2VI2UlClH2MloMAGm6sCfglYkwGIQKhUNK6S084FlmS1UVWkBJnFbZcAOATxuXTPifH5jrWATlSM0MVkisedng%3D%3D%7Ctkp%3ABk9SR4y6up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® 40632 - Aragorn und Arwen + NEU & OVP Brickheadz Herr Der Ringe Lord Of,29.39,0.0,29.39,Brandneu,2025-01-05,https://www.ebay.de/itm/395847533048?_skw=LEGO+40632&epid=16058340034&itmmeta=01JH0YEKKR9E47B9FNYKNN2S9J&hash=item5c2a5a01f8%3Ag%3A4A4AAOSwIExnLRad&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnk4PapItj%2FernlTY8tZ3HE%2FGHRpSoO1ebXu5tIRJY5ZF1%2BCSI9CHjuTC73jnVVwBECqlC1sv4qn9imUInP4fOI8Fg9Q26sHUg%2FA2BLjME9REk%2Fh0C%2F0q1ji582ym8xY9XC%2B4X3QAgDA7DA57SBC7AiD6QRQ%2FrneS1OA8kP6g674Olm%2FWdKuTkCGdfPj0TgdYvYkGWf1I9RtU%2FbsnIL5XkeBtUbOK7fwIttUTzX0XcpIkbNnwM5z8VPFYVV4W5NSbU%3D%7Ctkp%3ABk9SR4y6up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO 40632 BrickHeadz Aragorn und Arwen 261 Teile OVP NEU Herr der Ringe LOTR,29.99,0.0,29.99,Brandneu,2025-01-05,https://www.ebay.de/itm/316064295795?_skw=LEGO+40632&epid=16058340034&itmmeta=01JH0YEKKR1P6PG9PQVK0JY8EM&hash=item4996e66b73%3Ag%3AS3YAAOSw2DZnZMT9&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnjJlGaQaSJXIao4LEu8BBxo1%2FdJQVW6VgYc5MqTixO9fhAGC%2F7GWOdf8vadNshdqwFhni1fjRaNdisrOlOCgzGquGKYNCJur07TGoKRBsZChxy61Ic%2F9ku9BMaRgwbcKxuNwvj%2Bo76KEJq2ZDy9dDi7f4hmW%2FL4VvB3JAcPA3GdsKtjSzsAq5FsETuArsfwanmcWNznD%2FTSuCqkzwYVR8snt20Dka6xp%2FG%2BqWQ8RGzHKy87KqGrAMuKc8h%2FVFU16E%3D%7Ctkp%3ABk9SR4y6up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
✅ LEGO BrickHeadz Herr der Ringe 40632 Aragorn und Arwen Nr. 187 188 NEU OVP ✅,28.44,0.0,28.44,Brandneu,2025-01-03,https://www.ebay.de/itm/404095358216?_skw=LEGO+40632&epid=16058340034&itmmeta=01JH0YEKKRTCR9GN0C8RPQKATS&hash=item5e15f5d508%3Ag%3Aw-sAAOSwL1ljuYNF&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnWLj0fBbaB4Ist0nASh--Bu45YyIrpePvL9nUUjKt2um9N38pblB5svM66k60wyi55dn%2Bt3MERQRVs3ICpyuHzzCCIRrsSRHNTNWmWJ%2FhRG4Utrjhq%2BuXKyrw7JYC%2BtNxPDhIrCK8ENhmmhnQcZnhYBVYU6YuZQZ99%2FT7wS7TjSR4fz3Ik2IWb4SfRRfo3sx1Xg%2FRFc%2BQsuBK%2BOWaaGVEeBGgVWE7CK6ma1nFRZCY4x3l4T5Ndh3J5yYBOg%2FMgc1EXkU6MANQXPgyEUjJlVUmY8b45OJjZSQdqKMZ1XCX1mw%3D%3D%7Ctkp%3ABk9SR4y6up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BrickHeadz 40632 Aragorn und Arwen  The Lord of the Rings™ NEU & OVP,39.99,0.0,39.99,Brandneu,2025-01-03,https://www.ebay.de/itm/314452352830?_skw=LEGO+40632&epid=16058340034&itmmeta=01JH0YEKKRX5E85713SDE9339P&hash=item4936d21f3e%3Ag%3AXaYAAOSw1FlkCFTw&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkV%2F3r2MZNVOoSgIvmmBnSJunmmKqp%2BNnAL3wvH0jX8Lql2thrKIXTpWD9WpIIMobgPpj9%2F2KXO955IENio9xuhT4yks4tlGHjpCCWWLscRVrieQ7b8g4Vob0zyNBt7mzR2qZa%2FYdC%2BJg1spxXZI1uwLpjn7sbBOgmN13DZk9boMqy1hOZkyrfSjE%2FNrFBJmn00gRF6xhLH7MCIwFx2Qt98B6JgmbbaUsr77z6smxmlGHhDSCJweJ%2FlFdyCabqR63g%3D%7Ctkp%3ABk9SR4y6up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO Brickheadz LotR- 40630 40631 40632  - Gandalf Frodo Aragon - NEW NEU,99.99,0.0,99.99,Brandneu,2024-12-30,https://www.ebay.de/itm/306000140557?_skw=LEGO+40632&epid=28061737044&itmmeta=01JH0YEKKR8B420A1BEJW3GSHP&hash=item473f07990d%3Ag%3Adx0AAOSwOlpnbT8p&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmpWu3YVcfvhRNoy80iaUwYSk6YryMjMffC6L2BT6JVGbPuJE%2BOPQ3VtCxlNG5M16khl0%2BV%2F544nIM1ilWmiTyulXat%2Bd3N0%2FWVjaltw%2B%2FVd8lZNXUyJ37ktIJ3I5nCW%2FUussqRgZe6OAuGGUPlF%2F23pouDa2Xmg2ebRd%2FBJ1QZVGwTdnpm9SsQaYk%2F6Tm7zvev7HknVKC1qv7%2FboRaOkNU4ZLNhZ3uuwpoSlq6XrD6pfTtS8PvkewXdczFmtDLnjs%3D%7Ctkp%3ABk9SR466up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BRICKHEADZ 40632 Herr der Ringe: Aragorn und Arwen ⭐NEU ⭐OVP | 261 Teile,29.99,0.0,29.99,Brandneu,2024-12-30,https://www.ebay.de/itm/356111042554?_skw=LEGO+40632&epid=16058340034&itmmeta=01JH0YEKKRNVWB1GGTE69C1FKM&hash=item52e9df47fa%3Ag%3AWQcAAOSwvOFm%7EekB&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmYYIe%2F49ecSu6U2g1Ei8DNDMtZBdRd6HMWzQV3b0o%2BSXyPLJQ60Kz3ztdP0f8KN5Vik4MgMKz%2FG4u4EleZiobm93wB8i02ud05REUHpbwd68IPzibC2k47d4d9pvWbPS31zbzNJwn4qLyVkxJoJ3ml0Mw7jWIn4JIsNpoH6HhNAnQ88rdkQPNQIjScVA9Qt8Weh6apzUSw5YXUc5GjpDXUR%2FX3bQTUnXfr2w0NVejrsIpQDo0VEOvqKUymZYfEETM%3D%7Ctkp%3ABk9SR466up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® 40632 - Aragorn und Arwen + NEU & OVP +,39.95,0.0,39.95,Brandneu,2024-12-28,https://www.ebay.de/itm/266164889630?_skw=LEGO+40632&epid=16058340034&itmmeta=01JH0YEKKR75SMW7RXJ7M2B6K3&hash=item3df8a9e81e%3Ag%3AqIAAAOSwRX9kCeGV&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKkvbfZfH8GY0cb3RE5WXI10p%2FxrmXYkV0cDmfX%2F1zfue7GpjMlzjizlG2LD1ePi2QkL3oJuV1kW8R9S361ct%2FT2jclcwR6B2KyI4TRFv2DRRg3RWGqNDcidIv5wffPfOdLmBDWmRzEogT4T--CkD8rMSm3ZFJn1VY2UhcT8b2sEvgdetwLHJMKX7SEiE2%2BHdEz20mcJ3UkUjykF6fqpqgCWuq6OBJ3XhxUTgUHtAT3otuH9P%2BJA9Ln54UVh9RAYlw%2BIIWoFyMBrOPn5g6GeQZ8XdZnX%2BChyNBumokgUtGQ7Eg%3D%3D%7Ctkp%3ABk9SR466up6IZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
