Title,Price,Shipping,Condition,Date Sold
LEGO BRICKHEADZ: Aragorn & Arwen (40632),$36.50,+$22.89 shipping,Brand New,N/A
"LEGO® BrickHeadz (40632): Aragorn™ and Arwen™ - Rare, Exclusive **NEW & ORIGINAL PACKAGING**",$28.85,+$5.66 shipping,Brand New,N/A
LEGO BRICKHEADZ LOT OF (4) LOTR STAR WARS 40630 40631 40632 40547 BRAND NEW,$140.00,Shipping not specified,Brand New,N/A
LEGO Brick Headz The Lord of the Rings: Aragorn and Arwen (40632) NEW SEALED,$36.00,+$22.81 shipping,Brand New,N/A
NEW SEALED LEGO LORD OF THE RINGS BRICKHEADZ 40630 40631 40632 40751 LOT OF 4,$154.99,Shipping not specified,Brand New,N/A
"LEGO Brickheadz Lord of the Rings 40630 40631 40632 - Lot of 3, New Sealed",$98.00,Shipping not specified,Brand New,N/A
LEGO BRICKHEADZ: Aragorn & Arwen (40632) - Lord Of The Rings -  NEW & SEALED,$32.99,Shipping not specified,Brand New,N/A
"Lego Lord of the Rings Brickheadz Lot of 3 Sets (40631, 40632, 40751 ) Sealed",$99.00,Shipping not specified,Brand New,N/A
Lot of 4 LEGO BrickHeadz Lord of the Rings LOTR 40630 40631 40632 40751 -New,$131.00,Shipping not specified,Brand New,N/A
🔥🔥LEGO Lord Of The Rings Brickheadz 40631 and 40632 Brand New in Box Box 10/10,$84.99,+$46.23 shipping,Brand New,N/A
LEGO BRICKHEADZ: Aragorn & Arwen (40632),$45.00,+$18.21 shipping,Brand New,N/A
LEGO® BrickHeadz 40632 Aragorn and Arwen The Lord of the Rings™ NEW & ORIGINAL PACKAGING,$41.22,Free shipping,Brand New,N/A
LEGO 40632 BRICKHEADZ Aragorn & Arwen Lord of the Rings Retired (Asia Version),$38.95,Shipping not specified,Brand New,N/A
NEW LEGO BRICKHEADZ: Aragorn & Arwen (40632),$35.00,+$22.78 shipping,Brand New,N/A
Lego 40632 Lord of the Rings Aragorn & Arwen BRICKHEADZ,$39.00,+$22.90 shipping,Brand New,N/A
Lego Brickheadz The Lord of the Rings Aragorn & Arwen 40632 NEW SEALED BOX NSB,$47.90,+$21.16 shipping,Brand New,N/A
LEGO BRICKHEADZ: Aragorn & Arwen (40632),$34.00,+$26.80 shipping,Brand New,N/A
Lego 40632 Lord of the Rings Aragorn 188 & Arwen 187 (261 pcs) New / Sealed,$41.99,+$13.44 shipping,Brand New,N/A
LEGO Brick Headz The Lord of the Rings: Aragorn and Arwen (40632),$18.99,+$22.37 shipping,Pre-Owned,N/A
[LEGO®] LEGO BrickHeadz Aragorn™ & Arwen™ #40632,$29.99,+$20.99 shipping,Brand New,N/A
LEGO BrickHeadz Lord of the Rings LoTR 40630 And 40632,$40.00,+$42.86 shipping,Brand New,N/A
Lot of 4 LEGO BrickHeadz Lord of the Rings 40630 40631 40632 40751 -New Sealed,$129.95,Shipping not specified,Brand New,N/A
New Sealed LEGO 40632 Lord of the Rings Brickheadz Aragorn & Arwen,$39.99,+$23.58 shipping,Brand New,N/A
"LEGO BRICKHEADZ: (40632) Aragorn #188 and Arwen #187 - Original, New & Sealed",$41.00,+$36.40 shipping,Brand New,N/A
Lego Brickheadz The Lord of the Rings Aragorn & Arwen 40632 NEW SEALED BOX NSB,$34.00,+$25.66 shipping,Brand New,N/A
LEGO BRICKHEADZ: Aragorn & Arwen (40632),$39.99,+$14.93 shipping,Brand New,N/A
Lego Brick Headz (The Lord of the Rings) - verschiedene Sets zum aussuchen - Neu,$36.07,+$6.17 shipping,Brand New,N/A
